seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
privat,Angebot,9390,control,kleinwagen,2013,manuell,69,polo,40000,2,benzin,volkswagen,nein
privat,Angebot,8500,control,kleinwagen,2011,manuell,86,polo,70000,3,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2002,manuell,75,polo,100000,7,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2003,manuell,64,polo,60000,12,benzin,volkswagen,nein
privat,Angebot,2999,control,kleinwagen,2000,manuell,50,polo,80000,2,benzin,volkswagen,nein
privat,Angebot,3500,control,kleinwagen,2006,manuell,54,polo,90000,2,benzin,volkswagen,nein
privat,Angebot,6900,control,kleinwagen,2009,manuell,60,polo,30000,4,benzin,volkswagen,nein
privat,Angebot,4200,control,kleinwagen,2005,manuell,54,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,3333,control,kleinwagen,2004,manuell,55,polo,90000,5,benzin,volkswagen,nein
privat,Angebot,950,control,kleinwagen,1997,manuell,60,polo,90000,6,benzin,volkswagen,nein
privat,Angebot,4299,control,kleinwagen,2008,manuell,60,polo,90000,11,benzin,volkswagen,nein
privat,Angebot,10990,control,kleinwagen,2013,manuell,69,polo,40000,11,benzin,volkswagen,nein
privat,Angebot,13999,control,kleinwagen,2013,manuell,105,polo,30000,8,benzin,volkswagen,nein
privat,Angebot,5490,control,kleinwagen,2006,manuell,80,polo,50000,6,benzin,volkswagen,nein
privat,Angebot,5500,control,kleinwagen,2008,manuell,69,polo,80000,4,benzin,volkswagen,nein
privat,Angebot,4885,control,kleinwagen,2007,manuell,60,polo,80000,10,benzin,volkswagen,nein
